Area,Price
1572.97,139236.40
1060.67,102749.02
1870.55,159553.96
2444.84,204862.65
655.88,71127.95
1317.74,120954.76
2141.92,180052.31
2177.81,180354.08
2188.86,183470.38
2006.68,172349.01
921.72,90368.45
2137.97,188939.92
1049.30,102206.82
1391.61,129649.39
2445.69,209436.48
1487.17,135447.63
1158.74,104428.59
1872.95,154001.29
2410.41,199343.85
823.73,82822.35
777.47,79982.17
1358.06,124028.39
1856.27,156328.82
1963.81,165633.48
836.73,85820.49
1063.44,102705.94
2135.80,183032.17
1911.59,159539.61
2234.52,189453.89
969.51,92508.34
1863.00,159158.84
1557.35,138605.97
1522.97,135063.77
1712.78,149993.27
2295.60,193265.30
2052.15,174890.02
2274.41,192057.00
1362.61,123197.92
1070.19,99731.97
1012.97,94631.76
1072.39,101674.90
1372.61,125981.33
1917.22,163809.61
2095.62,178973.46
1017.83,98528.93
901.13,91035.41
846.44,87674.02
970.87,90757.81
1634.74,147473.21
2391.83,202304.53
1271.23,113877.60
